Symbol,Price,Change_Percent,Risk_Score,Volatility,SMA_20,SMA_50,RSI,MACD,BB_Width,VWAP,Volume,Avg_Vol_20D,Volume_Change,High_52W,Low_52W,Signals,Signal_Details,Scan_Time,Signal
HON,197.45,1.96,36,22.6,191.89,194.43,69.0,0.6588,4.8,195.5,"3,217,217","3,822,740",0.84x,225.29,166.32,5,"RSI強勢, MACD加速, 接近20日高, 突破布林上軌, 站上VWAP",2025-12-15 21:42,5
ABT,128.47,2.4,37,18.3,126.21,127.38,53.8,0.1129,8.3,128.68,"6,269,403","6,729,015",0.93x,139.33,109.21,4,"RSI強勢, MACD翻正, 接近52週高, 布林帶強勢",2025-12-15 21:42,4
SPGI,499.63,-0.28,39,23.4,494.04,489.63,61.2,0.4755,3.4,491.72,"1,604,171","1,505,318",1.07x,576.91,424.77,6,"均線多頭, RSI強勢, MACD加速, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-15 21:43,6
ICE,161.4,-1.04,39,20.4,156.17,155.1,66.2,0.8268,8.6,157.39,"2,062,587","3,577,439",0.58x,188.82,141.12,4,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP",2025-12-15 21:43,4
MA,569.13,1.02,41,20.3,543.47,554.88,66.2,3.0946,7.7,559.32,"2,041,406","2,857,260",0.71x,600.98,463.61,7,"RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-15 21:42,7
MCD,318.73,0.63,41,16.6,307.84,303.76,69.4,0.9817,6.4,303.05,"2,884,511","3,444,390",0.84x,320.72,270.23,7,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 突破布林上軌, 站上VWAP",2025-12-15 21:43,7
UNH,341.1,-0.22,41,26.9,324.82,338.08,68.2,2.8254,12.1,340.01,"5,559,998","6,935,809",0.80x,594.32,231.57,5,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
INTU,654.6,-2.43,41,24.1,651.95,657.38,50.5,2.4145,8.5,664.11,"1,685,907","2,038,140",0.83x,812.22,530.03,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-15 21:42,3
CVS,79.69,0.34,42,23.5,78.07,78.78,55.1,0.2822,8.2,78.06,"3,815,741","7,779,002",0.49x,85.15,41.77,6,"RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
CMCSA,28.21,3.6,42,25.0,27.07,28.12,68.6,0.2028,6.7,28.58,"36,373,965","33,283,983",1.09x,38.29,25.75,4,"RSI強勢, MACD加速, 接近20日高, 突破布林上軌",2025-12-15 21:43,4
JNJ,214.17,1.22,44,15.4,204.65,195.35,69.0,0.424,8.2,191.46,"6,243,872","9,639,878",0.65x,215.18,136.5,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-15 21:42,8
XOM,117.76,-0.89,44,17.6,117.14,115.09,56.2,0.1024,5.0,114.71,"11,795,372","14,952,713",0.79x,120.47,95.18,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
MCO,487.5,0.18,44,23.0,483.7,482.9,58.1,-0.065,6.2,482.34,"562,222","768,161",0.73x,527.9,376.55,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:43,6
SCHW,95.28,-1.42,44,19.1,93.22,93.76,69.4,0.412,8.7,93.64,"7,087,420","8,940,256",0.79x,99.14,65.3,5,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
ABBV,227.45,1.55,44,26.5,228.64,227.17,37.9,-0.4881,6.9,226.64,"4,214,243","5,543,162",0.76x,243.06,160.33,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:42,4
CME,272.18,-0.5,44,16.8,274.7,271.68,44.1,-0.7686,5.8,270.31,"2,237,988","1,975,589",1.13x,288.09,221.44,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:43,4
JPM,320.02,0.47,46,21.9,308.15,307.0,67.2,1.1782,9.8,307.75,"6,635,298","9,131,084",0.73x,322.88,200.22,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,8
RTX,182.11,1.93,46,25.1,173.06,171.64,67.2,0.9457,8.1,169.13,"2,773,324","4,683,821",0.59x,182.28,110.77,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-15 21:42,8
DE,488.01,0.66,46,22.5,476.6,469.38,50.4,0.6265,7.8,469.23,"1,260,639","1,724,116",0.73x,530.24,398.95,7,"均線多頭, RSI強勢, MACD翻正, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,7
GE,300.98,0.39,46,24.4,292.25,299.62,56.6,1.2071,7.9,298.56,"4,705,617","4,837,570",0.97x,316.67,158.62,6,"RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
KO,70.97,0.64,46,16.9,70.94,69.43,41.9,-0.2098,5.5,68.77,"13,141,823","17,830,801",0.74x,72.91,58.88,6,"均線多頭, RSI反彈, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
LMT,484.42,0.87,46,19.5,459.84,473.85,77.4,4.7945,11.2,474.74,"804,953","1,371,562",0.59x,512.11,404.07,5,"MACD加速, 接近20日高, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
COST,860.56,-2.7,46,18.5,895.98,914.78,39.6,-2.938,7.0,916.57,"4,727,286","2,810,794",1.68x,1073.82,851.4,3,"RSI反彈, 成交量激增, 低波動放量",2025-12-15 21:43,3
VRTX,455.71,0.81,48,25.4,438.57,426.98,65.9,0.7284,11.7,416.39,"1,216,459","1,387,482",0.88x,519.68,362.5,6,"均線多頭, RSI強勢, MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
COP,94.36,-1.24,48,25.5,90.95,89.22,69.9,0.5859,14.9,90.32,"7,324,088","6,877,319",1.06x,103.48,77.84,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
PFE,26.43,2.24,49,29.1,25.5,24.92,65.9,0.0386,7.2,24.8,"51,531,062","50,347,968",1.02x,27.21,19.83,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-15 21:42,8
IBM,308.66,-0.19,49,28.9,303.54,298.74,57.9,0.0539,9.6,291.7,"2,211,573","3,551,083",0.62x,324.9,209.2,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:43,6
AAPL,274.11,-1.5,49,20.5,276.38,268.05,46.5,-1.0416,8.1,263.22,"49,635,052","43,145,307",1.15x,288.62,168.63,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:42,4
GILD,119.78,-0.51,49,23.7,123.95,121.74,36.2,-0.7207,8.8,119.42,"7,581,448","7,104,002",1.07x,128.7,86.73,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:42,4
MMM,165.7,-1.89,49,25.5,168.21,163.94,42.4,-0.6503,6.6,161.99,"1,935,063","2,805,248",0.69x,174.69,120.31,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:42,4
MPC,185.51,-0.86,49,28.0,191.77,190.46,38.8,-0.7614,7.5,189.91,"1,933,867","1,979,178",0.98x,201.29,113.25,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-15 21:42,3
PEP,151.22,0.38,51,19.5,146.74,146.13,71.6,0.5356,5.7,144.65,"8,023,165","7,939,793",1.01x,155.29,123.93,7,"均線多頭, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-15 21:43,7
CSCO,78.25,0.58,51,21.9,77.55,73.81,60.9,-0.1177,6.7,72.67,"14,822,417","18,807,310",0.79x,80.82,51.49,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:43,6
SBUX,85.4,0.06,51,28.3,84.71,83.62,56.3,-0.0634,6.6,83.57,"11,232,052","8,891,447",1.26x,115.04,73.95,4,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP",2025-12-15 21:43,4
DIS,110.49,-0.99,51,24.3,106.1,109.38,75.5,0.9653,10.4,109.85,"10,878,240","11,338,497",0.96x,124.69,79.76,3,"從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:43,3
META,647.51,-0.8,53,33.5,632.52,667.53,68.4,5.1506,17.2,671.26,"15,116,623","18,113,341",0.83x,795.71,479.11,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-15 21:42,3
SWKS,66.37,-0.9,54,40.0,65.91,70.12,65.5,0.3561,17.7,72.35,"2,429,057","2,792,317",0.87x,91.61,46.48,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-15 21:42,3
VLO,167.9,-0.24,54,31.3,175.15,170.29,36.6,-1.2835,8.9,169.55,"2,526,864","2,854,143",0.89x,184.46,96.76,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-15 21:42,3
GOOG,309.32,-1.4,56,29.1,308.91,282.09,57.1,-1.9218,19.2,279.66,"21,692,668","29,410,688",0.74x,328.46,142.27,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
MRK,100.26,-0.04,56,32.3,99.57,91.98,49.7,-0.6351,13.7,90.51,"12,938,409","15,686,815",0.82x,105.84,71.87,6,"均線多頭, RSI反彈, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
CAT,589.76,-1.36,56,36.5,579.41,554.67,61.2,0.2387,16.4,532.15,"3,260,302","2,558,680",1.27x,627.5,264.29,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
V,346.89,0.36,56,21.1,330.22,337.69,70.5,2.0429,7.9,337.83,"5,667,206","6,814,005",0.83x,374.11,297.39,5,"MACD加速, 接近20日高, 接近52週高, 突破布林上軌, 站上VWAP",2025-12-15 21:42,5
DHR,228.53,0.97,56,30.8,226.44,218.47,52.1,-0.3778,5.4,212.51,"3,589,641","3,750,437",0.96x,256.97,170.43,5,"均線多頭, RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
LOW,248.78,0.6,56,21.8,239.78,238.57,74.3,1.0319,15.1,241.53,"1,731,076","3,828,263",0.45x,273.63,203.22,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:43,5
GOOGL,308.22,-1.35,56,29.7,308.38,281.47,56.3,-2.0148,19.2,279.57,"28,954,713","46,841,820",0.62x,328.62,140.14,4,"RSI強勢, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:42,4
SHOP,159.85,-2.97,56,49.9,154.81,159.55,60.5,1.141,21.2,157.28,"6,364,955","7,978,447",0.80x,182.19,69.84,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,4
AMGN,325.31,2.38,56,30.4,332.98,314.27,43.6,-3.6075,12.8,308.11,"3,874,574","2,888,693",1.34x,346.38,245.31,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:42,4
NKE,67.78,0.46,56,31.9,64.32,65.12,74.5,0.542,12.8,66.87,"11,589,709","12,820,545",0.90x,80.55,51.34,4,"MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:43,4
AXP,382.57,0.0,58,27.0,362.67,355.11,72.6,1.914,14.7,349.8,"2,093,783","2,502,804",0.84x,387.49,219.32,6,"均線多頭, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
UNP,240.47,0.22,58,16.9,229.99,225.38,81.8,0.9101,11.9,225.58,"2,185,127","3,315,596",0.66x,250.85,200.99,6,"均線多頭, MACD加速, 接近20日高, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
TMO,575.91,0.63,58,28.3,578.56,565.33,43.0,-2.3546,6.3,539.36,"1,286,216","1,559,450",0.82x,609.27,385.11,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-15 21:42,4
MPWR,949.4,-3.27,58,48.1,927.7,970.36,70.0,6.7638,17.5,957.85,"624,048","607,987",1.03x,1123.38,437.16,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-15 21:42,3
PSX,141.51,-1.34,59,24.6,137.96,134.9,70.1,0.4695,9.8,134.4,"1,706,378","2,176,343",0.78x,144.96,88.51,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
ZM,86.54,-4.1,61,32.7,84.52,83.32,67.3,0.4218,16.7,83.65,"2,822,342","3,512,887",0.80x,91.04,64.41,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
QCOM,179.26,0.54,61,39.8,170.38,170.29,78.4,1.25,16.6,171.87,"6,931,367","8,604,268",0.81x,204.9,118.79,4,"均線多頭, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,4
UPS,100.07,-0.84,61,28.1,95.84,91.55,70.0,0.3337,11.6,89.48,"3,660,059","5,863,982",0.62x,128.18,80.6,4,"均線多頭, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,4
BA,205.5,0.55,61,34.8,193.89,203.14,74.6,1.9987,20.2,205.52,"4,700,649","9,679,627",0.49x,242.69,128.88,3,"接近20日高, 從低點反彈, 布林帶強勢",2025-12-15 21:42,3
LRCX,164.3,2.35,63,48.4,155.57,152.53,68.5,0.7185,22.0,146.58,"10,108,006","10,565,345",0.96x,169.69,55.98,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
ASML,1087.82,0.64,63,36.0,1064.61,1040.34,67.6,0.4082,20.6,1013.78,"1,237,290","1,504,899",0.82x,1141.72,574.25,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
TXN,177.97,-0.81,63,29.8,170.43,168.99,73.6,1.0192,25.2,170.46,"8,466,241","7,091,787",1.19x,218.15,136.55,4,"均線多頭, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,4
KLAC,1225.11,2.61,65,41.3,1178.83,1159.3,68.7,3.2211,15.5,1135.09,"1,053,577","963,978",1.09x,1282.32,547.89,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
LLY,1062.19,3.38,65,32.9,1039.96,938.26,48.4,-8.5821,13.4,899.68,"3,949,130","3,557,321",1.11x,1111.99,621.5,6,"均線多頭, RSI反彈, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
GS,889.59,0.18,65,24.9,827.88,798.32,78.7,7.4754,22.5,797.14,"1,508,996","2,086,459",0.72x,919.1,432.73,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
BAC,55.33,0.34,66,20.4,53.02,52.22,83.9,0.2113,10.3,52.11,"26,739,579","37,484,438",0.71x,56.07,32.53,6,"均線多頭, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
SNPS,454.67,0.38,66,48.6,432.26,436.61,72.3,3.7804,32.6,449.16,"2,546,284","2,368,809",1.07x,651.73,365.74,3,"從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,3
C,112.8,0.89,68,23.3,104.73,101.18,93.8,0.8425,20.0,100.92,"7,520,899","11,784,384",0.64x,113.51,54.39,6,"均線多頭, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,6
ABNB,131.81,2.98,68,24.7,119.97,122.13,83.2,1.6332,17.7,122.03,"5,349,106","5,147,295",1.04x,163.93,99.88,5,"MACD加速, 接近20日高, 從低點反彈, 突破布林上軌, 站上VWAP",2025-12-15 21:42,5
WFC,92.9,0.15,68,25.8,87.36,85.46,83.7,0.6117,15.9,84.9,"10,795,856","13,731,837",0.79x,94.26,57.46,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
MS,177.79,-0.35,68,22.9,169.94,164.53,83.5,0.7404,18.4,162.82,"4,030,784","5,650,244",0.71x,181.98,92.37,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-15 21:42,5
TGT,97.56,0.48,68,28.3,90.77,90.55,94.0,0.8936,17.7,89.34,"4,696,916","7,945,210",0.59x,138.95,83.44,5,"均線多頭, MACD加速, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-15 21:43,5
