Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,BB_Upper,BB_Lower,BB_Width,VWAP,Volume,Avg_Vol,Vol_Ratio,52W_High,52W_Low,20D_High,Signals,Signal_List,Time
JPM,315.21,0.05,308.12,306.71,68.63,1.2285,322.59,293.65,9.39,306.9,7414600,8053140,0.92,322.25,200.22,322.25,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
IBM,309.18,0.4,303.37,296.02,63.19,0.1486,318.16,288.59,9.75,288.63,3629300,3952840,0.92,324.9,209.2,324.9,7,"均線多頭, RSI強勢, MACD翻正, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
LRCX,162.74,2.55,153.55,149.97,65.5,0.7461,167.92,139.18,18.71,142.53,10168200,10964630,0.93,166.88,55.98,166.88,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
KLAC,1224.59,0.83,1167.04,1146.76,65.32,6.2663,1244.48,1089.61,13.27,1117.79,819800,999890,0.82,1282.32,547.89,1242.4,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
AAPL,277.89,-0.32,275.24,265.89,66.46,-0.1616,286.88,263.6,8.46,259.52,38140000,45409255,0.84,288.62,168.63,288.62,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
GOOGL,313.72,-2.29,302.78,275.86,69.7,-0.1793,336.28,269.29,22.13,274.56,33835800,45277740,0.75,328.62,140.14,328.62,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
JNJ,201.62,-0.15,200.62,192.94,60.75,-0.5668,211.93,189.31,11.28,189.43,7775400,9527730,0.82,207.81,136.5,207.81,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
MCD,309.79,-0.46,305.44,302.42,57.92,0.4962,312.95,297.92,4.92,302.35,3574500,3286710,1.09,320.72,270.23,313.8,6,"均線多頭, RSI強勢, MACD加速, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-09 05:39
INTC,40.3,-2.68,37.82,37.72,64.58,0.4583,44.01,31.63,32.74,35.62,93648500,85529390,1.09,44.02,17.67,44.02,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
CSCO,78.86,1.14,76.45,72.7,55.35,-0.0001,80.31,72.59,10.1,71.88,17452900,24331280,0.72,80.06,51.49,80.06,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
MU,246.92,4.09,233.41,215.86,52.18,-0.0755,259.19,207.64,22.08,200.28,20427700,26083955,0.78,260.58,61.44,260.58,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:39
ASML,1119.69,1.84,1044.77,1029.64,63.85,9.6091,1145.72,943.81,19.33,992.84,1115900,1476450,0.76,1141.72,574.25,1141.72,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-09 05:40
