Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width,VWAP,Volume,Avg_Vol,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Time
MSFT,492.02,0.2,34,18.9,489.78,506.21,49.4,1.4339,9.8,505.9,14081114,24735545,0.57,553.5,342.95,4,"RSI反彈, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 00:21
LMT,466.89,0.32,34,19.3,455.56,475.44,47.1,2.3915,8.1,474.31,934920,1286071,0.73,512.11,404.07,4,"RSI反彈, MACD加速, 接近52週高, 布林帶強勢",2025-12-10 00:21
PEP,144.64,-0.68,36,18.8,145.45,145.37,39.1,-0.0929,3.9,144.01,9456537,7078971,1.34,155.29,123.93,4,"RSI反彈, 接近52週高, 站上VWAP, 低波動放量",2025-12-10 00:21
PAYX,112.74,0.26,36,20.6,111.27,117.41,58.8,0.7156,4.3,120.04,2818403,3011065,0.94,158.49,108.0,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-10 00:21
EOG,109.39,-1.11,37,19.1,108.88,107.94,49.5,0.3859,7.3,109.52,3083222,3499701,0.88,134.2,99.8,3,"均線多頭, RSI反彈, 布林帶強勢",2025-12-10 00:21
MCD,310.79,0.32,38,16.4,306.11,302.61,59.3,0.5085,4.5,302.34,1917314,3191385,0.6,320.72,270.23,7,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-10 00:21
MCO,486.37,-0.16,39,23.5,484.23,482.5,66.7,0.7422,6.5,483.62,409447,690557,0.59,527.9,376.55,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
ADSK,300.75,-0.21,39,20.1,298.98,304.16,60.2,1.1245,9.0,308.16,1393466,1611758,0.86,329.09,232.67,4,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢",2025-12-10 00:21
ICE,158.01,0.62,39,20.3,154.86,155.24,62.9,0.63,6.5,157.88,1953975,3443623,0.57,188.82,141.12,4,"RSI強勢, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-10 00:21
COP,93.43,0.59,41,25.0,89.64,89.04,63.6,0.6586,10.1,89.98,4754683,6677104,0.71,103.48,77.84,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
VRTX,437.01,-1.14,41,25.6,435.41,423.17,50.7,0.631,10.5,413.46,951647,1393802,0.68,519.68,362.5,5,"均線多頭, RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
ADBE,344.32,1.53,41,28.4,327.3,336.61,63.5,3.424,11.3,343.05,4256288,3759529,1.13,552.83,311.59,4,"RSI強勢, MACD加速, 布林帶強勢, 站上VWAP",2025-12-10 00:21
NOW,854.91,0.16,41,24.5,832.31,879.15,65.5,7.5211,9.6,892.36,691067,1373183,0.5,1198.09,678.66,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 00:21
INTU,655.75,-0.07,41,23.6,650.06,658.49,52.1,2.4911,7.3,663.12,1386515,1933395,0.72,812.22,530.03,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-10 00:21
UNH,323.6,-0.01,41,26.8,323.02,339.09,59.5,1.6059,10.1,340.93,3674957,7241922,0.51,594.32,231.57,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-10 00:21
JPM,300.51,-4.66,42,20.7,307.3,306.44,51.0,0.2419,9.3,307.06,15596840,8543407,1.83,322.25,200.22,4,"RSI強勢, 成交量激增, 接近52週高, 從低點反彈",2025-12-10 00:21
PFE,25.33,-1.71,42,29.8,25.41,24.95,48.7,0.0011,6.3,24.71,43387090,63991199,0.68,27.21,19.83,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
XOM,118.25,1.96,43,17.8,117.0,114.48,47.3,-0.0522,4.5,114.22,21269517,14993935,1.42,120.46,95.18,7,"均線多頭, RSI反彈, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP, 低波動放量",2025-12-10 00:21
BLK,1071.31,0.87,43,23.2,1043.12,1093.47,68.3,8.5238,11.1,1101.52,445174,639888,0.7,1214.03,762.34,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 00:21
KO,70.09,-0.23,43,16.2,71.07,69.09,44.8,-0.3159,4.8,68.5,8985562,16252358,0.55,72.91,58.88,3,"RSI反彈, 接近52週高, 站上VWAP",2025-12-10 00:21
CVS,78.24,2.23,44,23.2,77.98,78.5,50.9,-0.1362,7.9,77.6,12583801,7348665,1.71,85.15,41.77,6,"RSI強勢, 成交量激增, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
SCHW,94.16,-0.13,44,19.2,93.12,93.54,59.3,0.2909,8.3,93.41,4803081,8575239,0.56,99.14,65.3,5,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
DIS,107.02,-0.57,44,23.6,106.22,109.57,52.0,0.4902,13.6,110.11,6639437,13105261,0.51,124.69,79.76,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 00:21
CME,270.12,-0.11,44,16.2,276.83,271.31,35.4,-1.3345,6.3,269.73,1058343,2002902,0.53,288.09,221.44,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
PANW,195.0,-0.18,46,28.2,195.59,206.0,43.3,1.0789,19.6,203.41,3152068,6413433,0.49,223.61,144.15,3,"RSI反彈, MACD加速, 從低點反彈",2025-12-10 00:21
CHWY,34.84,0.64,47,34.7,33.83,35.36,51.9,0.1989,8.3,35.76,13009977,6622723,1.96,48.62,29.83,5,"RSI強勢, MACD加速, 成交量激增, 接近20日高, 布林帶強勢",2025-12-10 00:21
ABNB,125.39,2.77,48,24.0,118.87,121.69,68.7,1.1123,12.5,121.74,3498711,4976725,0.7,163.93,99.88,6,"RSI強勢, MACD加速, 接近20日高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
TGT,93.62,0.6,48,28.4,89.6,89.89,61.2,0.6281,12.2,89.01,4642255,7817912,0.59,138.95,83.44,5,"RSI強勢, MACD加速, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-10 00:21
CSCO,79.51,0.82,49,21.7,76.82,72.94,60.3,0.0658,9.1,72.02,15727604,24007680,0.66,80.06,51.49,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
PSX,139.88,0.59,49,24.0,137.27,134.36,53.4,0.2564,7.8,133.85,1308549,2175202,0.6,142.53,88.51,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
BAC,53.54,-0.67,49,20.3,52.67,51.88,68.3,0.1278,7.9,51.84,37814053,35791367,1.06,54.83,32.53,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
NVDA,184.97,-0.31,49,36.5,183.64,187.3,54.3,0.4405,10.4,185.35,142114605,206323605,0.69,212.18,86.6,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 00:21
GILD,119.36,-1.51,49,24.2,124.53,120.95,30.0,-0.9473,7.4,119.04,5277250,7023432,0.75,128.7,86.73,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
MMM,165.09,0.69,49,26.2,168.56,163.09,48.7,-0.9034,6.4,161.33,1925472,2855873,0.67,174.69,120.31,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
MPC,190.73,0.56,49,27.6,193.01,190.67,36.9,-0.5077,7.2,189.51,1807754,1956002,0.92,201.29,113.25,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
WDAY,222.25,0.57,49,35.3,221.8,230.11,47.0,0.4816,10.7,230.2,1689029,3333701,0.51,283.68,205.33,3,"RSI反彈, MACD加速, 布林帶強勢",2025-12-10 00:21
ABBV,222.99,-0.06,49,27.4,229.34,227.79,36.7,-0.9053,6.9,226.09,4266548,5754797,0.74,243.06,160.33,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-10 00:21
AAPL,277.18,-0.26,51,20.6,275.63,266.35,65.0,-0.4873,8.2,260.21,31711233,44932786,0.71,288.62,168.63,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
UPS,96.97,1.49,51,27.8,94.61,90.22,61.3,-0.1071,6.7,88.62,4737210,6101665,0.78,128.18,80.6,5,"均線多頭, RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
SLB,38.3,0.16,51,29.0,36.44,35.28,69.3,0.2442,12.4,34.94,5968598,13789534,0.43,43.29,30.37,5,"均線多頭, RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
JNJ,199.96,-0.82,51,14.1,201.26,193.33,53.7,-0.8422,9.4,189.74,7507774,9637443,0.78,207.81,136.5,4,"RSI強勢, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
TMO,563.07,-0.9,51,29.2,580.19,561.0,40.2,-4.2159,6.3,535.22,1415901,1638475,0.86,609.27,385.11,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
RTX,171.93,0.24,51,25.0,172.6,170.68,45.6,-0.3603,6.3,167.86,4729554,4430002,1.07,180.6,110.77,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
UBER,89.07,-3.78,51,33.4,88.98,92.71,46.0,0.692,15.7,93.36,14600136,18423651,0.79,101.99,59.33,3,"RSI反彈, 從低點反彈, 布林帶強勢",2025-12-10 00:21
BA,200.37,-2.86,51,35.2,192.41,204.25,59.5,2.8175,18.3,206.73,7018386,9183464,0.76,242.69,128.88,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-10 00:21
GE,285.31,-0.65,51,23.5,295.04,300.13,40.9,-1.0139,10.7,298.25,3453072,4215498,0.82,316.67,158.62,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-10 00:21
ZM,87.63,-1.64,53,31.1,83.94,82.95,66.0,0.6327,14.8,83.47,2494843,3487997,0.72,91.04,64.41,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
UNP,231.56,-1.65,53,16.4,226.77,225.07,73.7,0.8921,10.4,224.02,3784841,3179192,1.19,250.85,200.99,4,"均線多頭, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-10 00:21
MELI,2074.48,-0.66,53,44.4,2058.34,2138.77,51.3,11.7353,10.9,2184.59,417028,537391,0.78,2645.22,1646.0,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-10 00:21
DOCU,69.39,5.07,54,44.0,67.49,69.18,59.6,0.2861,12.3,72.26,5112048,2830002,1.81,101.31,63.4,4,"RSI強勢, MACD加速, 成交量激增, 布林帶強勢",2025-12-10 00:21
AMGN,313.85,-2.3,54,30.7,336.09,312.11,31.2,-4.1744,9.2,305.68,2922804,2946250,0.99,346.38,245.31,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-10 00:21
DHR,223.23,-0.56,54,30.4,224.44,216.84,46.1,-0.786,6.6,209.98,2150931,3694351,0.58,256.97,170.43,3,"RSI反彈, 從低點反彈, 站上VWAP",2025-12-10 00:21
HAL,28.58,1.78,56,39.8,26.77,25.69,68.4,0.1936,15.0,24.86,8531116,10299470,0.83,29.52,18.31,8,"均線多頭, RSI強勢, MACD加速, 接近20日高, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
PLTR,181.84,0.19,56,49.6,171.66,179.37,67.3,2.2859,22.1,178.74,18572187,44056324,0.42,207.52,63.4,5,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
QCOM,176.0,0.39,56,39.3,169.11,169.21,70.8,1.1808,12.9,170.91,7606579,8672018,0.88,204.9,118.79,4,"MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
NET,208.93,1.49,56,47.5,203.44,214.93,63.3,1.5596,22.3,217.04,1582993,2892864,0.55,260.0,89.42,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 00:21
OKTA,87.79,0.57,56,30.2,82.7,86.79,72.9,1.1004,14.6,87.61,1835309,2946865,0.62,127.57,75.05,4,"MACD加速, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-10 00:21
SHOP,159.89,0.93,56,48.3,153.26,158.68,69.3,1.1711,19.1,156.43,4722023,8184396,0.58,182.19,69.84,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
CRWD,517.98,0.54,58,40.9,517.95,515.87,51.8,-0.3147,12.3,501.86,1940406,2383350,0.81,566.9,298.0,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
ORCL,221.53,0.45,58,49.2,213.34,252.07,50.8,4.4348,21.0,272.0,17215412,24246520,0.71,345.12,117.98,4,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢",2025-12-10 00:21
LLY,982.22,-1.54,58,32.5,1037.83,921.28,39.1,-17.0003,13.4,886.2,2091355,3666517,0.57,1111.99,621.5,3,"RSI反彈, 從低點反彈, 站上VWAP",2025-12-10 00:21
IBM,310.48,0.42,59,29.1,303.44,296.67,75.9,0.2933,9.8,289.25,2183361,3913293,0.56,324.9,209.2,6,"均線多頭, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
KLAC,1225.61,0.08,60,40.5,1167.53,1150.03,67.9,6.5558,13.5,1121.07,732121,989091,0.74,1282.32,547.89,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
ASML,1111.44,-0.74,60,37.2,1048.4,1032.65,65.2,8.1764,20.1,996.46,904112,1472155,0.61,1141.72,574.25,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
TWLO,129.65,-0.37,61,54.8,125.82,118.85,65.0,-0.1028,12.3,114.92,1631905,1923380,0.85,151.95,77.51,5,"均線多頭, RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
DASH,229.99,2.02,61,52.8,206.31,237.02,62.4,5.6921,26.1,229.47,5232778,7019403,0.75,285.5,155.4,5,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
WFC,88.89,-1.3,61,25.3,86.02,84.56,70.0,0.4735,11.2,84.2,16828496,13726754,1.23,91.11,57.46,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
AXP,363.91,0.45,61,26.3,359.64,350.96,72.1,0.2283,11.3,346.62,1626389,2472224,0.66,377.23,219.32,5,"均線多頭, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-10 00:21
