Ticker,Price,Change_%,Risk_Score,Volatility_%,SMA_20,SMA_50,RSI,MACD,BB_Width_%,VWAP,Volume,Avg_Vol_20D,Vol_Ratio,52W_High,52W_Low,Signals,Signal_List,Scan_Time
SPGI,499.86,0.05,36,23.4,494.64,490.08,56.3,0.5494,3.4,491.34,"1,593,593","1,498,279",1.06x,576.91,424.77,6,"均線多頭, RSI強勢, MACD加速, 接近20日高, 布林帶強勢, 站上VWAP",2025-12-16 21:42
MA,566.02,-0.55,36,19.9,546.24,554.48,61.3,3.8249,9.5,559.31,"1,700,998","2,895,424",0.59x,600.98,463.61,5,"RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
LMT,477.06,-1.52,36,19.7,460.33,473.18,69.2,4.3942,11.6,474.83,"1,057,034","1,343,161",0.79x,512.11,404.07,4,"RSI強勢, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-16 21:41
ABT,126.86,-1.25,37,18.3,126.05,127.25,46.6,0.2421,7.8,128.61,"4,242,018","6,722,650",0.63x,139.33,109.21,4,"RSI反彈, MACD加速, 接近52週高, 布林帶強勢",2025-12-16 21:41
GE,298.73,-0.75,39,24.3,292.18,299.63,54.9,1.4801,7.8,298.74,"2,893,752","4,933,677",0.59x,316.67,158.62,5,"RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢",2025-12-16 21:41
ICE,160.05,-0.84,39,20.3,157.21,155.13,61.1,0.5902,8.4,157.33,"2,196,459","3,614,917",0.61x,188.82,141.12,4,"均線多頭, RSI強勢, 布林帶強勢, 站上VWAP",2025-12-16 21:42
PEP,150.37,-0.56,41,19.5,146.94,146.37,66.9,0.5172,6.1,144.87,"7,481,315","7,967,240",0.94x,155.29,123.93,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
LOW,246.47,-0.93,41,21.8,240.85,238.69,62.3,0.7527,14.0,241.35,"1,842,842","3,768,697",0.49x,273.63,203.22,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:42
MCD,314.5,-1.33,41,16.8,308.41,304.17,57.6,0.8272,6.5,303.28,"2,167,556","3,477,542",0.62x,320.72,270.23,5,"均線多頭, RSI強勢, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-16 21:42
UNH,334.2,-2.02,41,27.2,325.61,337.64,57.6,2.3743,12.2,339.97,"4,832,105","6,898,110",0.70x,594.32,231.57,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-16 21:41
CVS,78.29,-1.76,42,23.8,78.06,78.83,49.5,0.1972,8.2,78.14,"3,257,899","7,610,269",0.43x,85.15,41.77,5,"RSI反彈, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
UNP,235.88,-1.91,43,17.4,230.8,225.37,64.9,0.5683,11.2,225.95,"2,059,209","3,327,700",0.62x,250.85,200.99,5,"均線多頭, RSI強勢, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-16 21:41
BLK,1068.14,-1.3,43,23.2,1045.57,1088.07,66.0,7.2056,12.1,1099.64,"497,969","686,608",0.73x,1214.03,762.34,3,"RSI強勢, 從低點反彈, 布林帶強勢",2025-12-16 21:41
PFE,25.53,-3.41,44,29.9,25.52,24.91,47.7,-0.001,7.0,24.84,"100,503,279","51,413,728",1.95x,27.21,19.83,7,"均線多頭, RSI反彈, 成交量激增, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
JNJ,209.3,-2.27,44,16.2,205.2,195.79,54.7,0.257,7.8,192.01,"7,083,751","9,442,537",0.75x,215.19,136.5,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
IBM,303.18,-1.78,44,29.2,303.84,299.05,48.1,-0.4461,9.4,292.16,"2,520,553","3,549,432",0.71x,324.9,209.2,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-16 21:42
ABBV,223.67,-1.66,44,26.3,227.67,226.89,37.5,-0.4476,6.8,226.68,"3,872,137","5,573,801",0.69x,243.06,160.33,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-16 21:41
RTX,179.93,-1.2,46,25.3,173.31,171.88,64.4,0.9801,8.8,169.52,"3,196,567","4,693,888",0.68x,182.28,110.77,7,"均線多頭, RSI強勢, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
DE,485.44,-0.53,46,22.6,477.07,469.94,43.7,0.9334,8.0,469.52,"1,292,550","1,733,452",0.75x,530.24,398.95,7,"均線多頭, RSI反彈, MACD加速, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
JPM,315.55,-1.4,46,22.0,308.91,307.13,59.9,0.9642,9.7,307.93,"5,463,015","9,198,685",0.59x,322.88,200.22,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
V,345.11,-0.51,46,20.6,332.08,337.6,62.2,2.5226,9.8,338.14,"5,420,349","6,853,152",0.79x,374.11,297.39,5,"RSI強勢, MACD加速, 接近52週高, 布林帶強勢, 站上VWAP",2025-12-16 21:41
HON,198.26,0.41,46,22.6,191.99,194.48,66.8,0.8659,5.3,195.51,"4,214,997","3,903,944",1.08x,225.29,166.32,5,"RSI強勢, MACD加速, 接近20日高, 突破布林上軌, 站上VWAP",2025-12-16 21:41
PSX,131.78,-6.88,46,28.1,137.74,135.09,45.8,-0.3605,10.6,134.58,"4,028,216","2,266,335",1.78x,144.96,88.51,4,"RSI反彈, 成交量激增, 接近52週高, 從低點反彈",2025-12-16 21:41
XOM,114.68,-2.62,46,18.3,116.99,115.12,50.5,-0.1607,5.3,114.76,"13,800,205","15,069,315",0.92x,120.47,95.18,3,"RSI強勢, 接近52週高, 從低點反彈",2025-12-16 21:41
KO,70.37,-0.85,46,16.8,70.95,69.52,38.4,-0.1849,5.5,68.85,"12,479,165","17,992,483",0.69x,72.91,58.88,3,"RSI反彈, 接近52週高, 站上VWAP",2025-12-16 21:41
PYPL,61.33,0.97,47,36.9,61.24,65.57,50.6,0.2176,7.0,66.89,"16,268,929","15,860,126",1.03x,93.03,55.72,3,"RSI強勢, MACD加速, 布林帶強勢",2025-12-16 21:41
AXP,380.75,-0.48,48,26.6,364.65,356.1,66.7,1.6981,14.2,350.57,"1,840,829","2,446,941",0.75x,387.49,219.32,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
VRTX,454.96,-0.16,48,25.7,438.71,427.04,65.4,0.7993,11.8,416.78,"1,144,431","1,369,666",0.84x,519.68,362.5,6,"均線多頭, RSI強勢, MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
INTU,669.35,2.25,48,24.3,653.12,657.39,57.5,2.5253,8.7,664.3,"1,738,105","2,054,075",0.85x,812.22,530.03,5,"RSI強勢, MACD加速, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
MCO,493.0,1.13,49,23.3,484.02,483.03,62.0,0.3325,6.4,482.26,"688,420","789,056",0.87x,527.9,376.55,7,"均線多頭, RSI強勢, MACD翻正, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:42
MMM,163.2,-1.51,49,25.6,168.1,164.1,33.9,-0.8434,7.0,162.11,"1,964,951","2,790,142",0.70x,174.69,120.31,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-16 21:41
NKE,67.12,-0.97,49,32.0,64.55,65.05,66.4,0.4847,13.1,66.83,"11,901,074","12,747,828",0.93x,80.55,51.34,4,"RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:42
GILD,118.78,-0.83,49,24.0,123.87,121.7,34.4,-0.802,9.2,119.49,"6,206,896","7,087,144",0.88x,128.7,86.73,3,"RSI反彈, 接近52週高, 從低點反彈",2025-12-16 21:41
CSCO,77.55,-0.89,51,22.0,77.54,73.98,56.3,-0.2117,6.7,72.83,"15,762,934","18,300,851",0.86x,80.82,51.49,6,"均線多頭, RSI強勢, 接近52週高, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:42
UPS,100.11,0.04,51,28.0,96.14,91.85,68.2,0.2802,12.1,89.67,"3,618,388","5,790,629",0.62x,128.18,80.6,5,"均線多頭, RSI強勢, 從低點反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:41
GOOGL,306.57,-0.54,51,29.4,311.12,283.88,32.2,-2.8135,14.6,280.81,"30,447,191","45,955,179",0.66x,328.62,140.14,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-16 21:41
GOOG,307.73,-0.51,51,28.8,311.71,284.51,33.4,-2.7265,14.5,280.98,"20,948,361","28,907,328",0.72x,328.46,142.27,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-16 21:41
SBUX,85.08,-0.37,51,28.2,84.77,83.7,47.1,-0.0459,6.5,83.59,"7,470,229","8,862,006",0.84x,115.04,73.95,4,"均線多頭, RSI反彈, 布林帶強勢, 站上VWAP",2025-12-16 21:42
CME,272.95,0.28,51,16.8,273.54,270.47,47.4,-0.6311,5.8,269.29,"1,654,243","2,028,907",0.82x,286.76,220.42,4,"RSI反彈, 接近52週高, 從低點反彈, 站上VWAP",2025-12-16 21:42
