Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
BHF,65.3,-0.08,65.61,56.54,37.5,1.6308,611300,1247670,66.33,42.07,5,"Golden_Cross, RSI_Normal, RSI_Bounce, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:33
XOM,115.98,-0.48,116.94,114.38,43.75,0.0522,14900400,14582670,119.76,95.18,5,"Golden_Cross, RSI_Normal, RSI_Bounce, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:46
AAPL,277.89,-0.32,275.24,265.89,66.46,4.2655,38140000,45409255,288.62,168.63,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:17:55
GOOGL,313.72,-2.35,302.97,276.03,69.5,16.4494,33835800,45277740,328.83,140.23,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:17:55
AMZN,226.89,-1.15,231.72,228.53,42.99,-6.8399,34893100,42980885,258.6,161.38,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:17:56
JNJ,201.62,-0.15,200.62,192.94,60.75,7.1812,7775400,9527730,207.81,136.5,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:17:57
JPM,315.21,0.05,308.12,306.71,68.63,-1.1201,7414600,8053140,322.25,200.22,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:17:58
CSCO,78.86,1.14,76.45,72.7,55.35,1.3583,17452900,24331280,80.06,51.49,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:02
IBM,309.18,0.4,303.37,296.02,63.19,-0.0717,3629300,3952840,324.9,209.2,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:03
ASML,1119.69,1.84,1044.77,1029.64,63.85,14.9784,1115900,1476450,1141.72,574.25,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:05
LRCX,162.74,2.55,153.55,149.97,65.5,-1.2717,10168200,10964630,166.88,55.98,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:08
KLAC,1224.59,0.83,1167.04,1146.76,65.32,-7.4831,819800,999890,1282.32,547.89,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:09
SRE,88.16,-2.76,91.91,91.87,37.47,-0.3976,4125800,4171990,95.72,60.93,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:19
HIG,129.73,0.23,133.29,129.78,44.24,2.5316,1412800,1475620,138.03,103.19,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:31
FIX,989.48,-1.2,947.03,907.01,61.97,3.7529,647700,558035,1036.67,275.8,4,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:35
CME,270.42,-0.17,277.19,271.36,36.05,0.4397,1565900,2021440,288.09,221.44,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:45
MPC,189.66,-0.46,193.24,190.76,41.82,-1.486,2258600,1979070,201.29,113.25,4,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:48
