Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,BB_Upper,BB_Lower,VWAP,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
BHF,65.3,-0.08,65.61,56.54,37.5,1.6308,65.94,65.28,57.23,611300,1247670,66.33,42.07,9,"Golden_Cross, RSI_Normal, RSI_Bounce, Near_52W_High, From_Low_Rebound, BB_Oversold_Bounce, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:31:08
CSCO,78.86,1.14,76.45,72.7,55.35,1.3583,80.31,72.59,71.88,17452900,24331280,80.06,51.49,7,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:30:37
KLAC,1224.59,0.83,1167.04,1146.76,65.32,-7.4831,1244.48,1089.61,1117.79,819800,999890,1282.32,547.89,7,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:30:43
LUV,37.95,0.26,33.93,32.86,86.84,1.6626,37.84,30.02,32.64,12447400,7648085,38.37,23.55,7,"Golden_Cross, Volume_Surge, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:32:03
FLEX,67.54,8.22,59.39,60.53,68.43,-1.4842,65.6,53.17,60.0,13052600,5344790,69.25,25.11,7,"RSI_Normal, Volume_Surge, Near_52W_High, From_Low_Rebound, BB_Breakout, Above_VWAP, Strong_Rebound",2025-12-09 03:32:28
AAPL,277.89,-0.32,275.24,265.89,66.46,4.2655,286.88,263.6,259.52,38140000,45409255,288.62,168.63,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:25
GOOGL,313.72,-2.35,302.97,276.03,69.5,16.4494,336.47,269.47,274.74,33835800,45277740,328.83,140.23,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:26
JNJ,201.62,-0.15,200.62,192.94,60.75,7.1812,211.93,189.31,189.43,7775400,9527730,207.81,136.5,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:29
JPM,315.21,0.05,308.12,306.71,68.63,-1.1201,322.59,293.65,306.9,7414600,8053140,322.25,200.22,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:31
IBM,309.18,0.4,303.37,296.02,63.19,-0.0717,318.16,288.59,288.63,3629300,3952840,324.9,209.2,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:38
ASML,1119.69,1.84,1044.77,1029.64,63.85,14.9784,1145.72,943.81,992.84,1115900,1476450,1141.72,574.25,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:40
LRCX,162.74,2.55,153.55,149.97,65.5,-1.2717,167.92,139.18,142.53,10168200,10964630,166.88,55.98,6,"Golden_Cross, RSI_Normal, Near_52W_High, From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:30:43
SRE,88.16,-2.76,91.91,91.87,37.47,-0.3976,94.95,88.86,89.41,4125800,4171990,95.72,60.93,6,"Golden_Cross, RSI_Normal, RSI_Bounce, From_Low_Rebound, BB_Oversold_Bounce, Strong_Rebound",2025-12-09 03:30:55
